В	PREP
форточке	NOUN
нет	PART
стекла	NOUN
.	PNCT
Вода	NOUN
ещё	ADV
не	PART
стекла	VERB
до	PREP
конца	NOUN
.	PNCT
Если	CONJ
мне	PRON
дают	VERB
за	PREP
мой	APRO
труд	NOUN
минимум	NOUN
,	PNCT
я	PRON
и	CONJ
буду	VERB
трудиться	VERB
минимально	ADV
.	PNCT
Руки	NOUN
мой	VERB
с	PREP
мылом	NOUN
и	CONJ
вытирай	VERB
не	PART
об	PREP
штаны	NOUN
,	PNCT
а	CONJ
полотенцем	NOUN
.	PNCT
Домашняя	ADJ
жизнь	NOUN
Гольдберга	NOUN
тоже	ADV
развалилась	VERB
,	PNCT
менялись	VERB
домработницы	NOUN
,	PNCT
одна	NOUN
крала	VERB
,	PNCT
другая	SPRO
пила	VERB
.	PNCT
Хорошо	ADV
,	PNCT
кабы	CONJ
Медвежонок	NOUN
наведался	VERB
:	PNCT
у	PREP
него	PRON
и	CONJ
топор	NOUN
острый	ADJ
,	PNCT
и	CONJ
пила	NOUN
есть	VERB
,	PNCT
и	CONJ
специальные	ADJ
саночки	NOUN
,	PNCT
чтобы	CONJ
дрова	NOUN
возить	VERB
.	PNCT
Сержант	NOUN
повернул	VERB
колесо	NOUN
,	PNCT
и	CONJ
длинное	ADJ
дуло	NOUN
противотанкового	ADJ
ружья	NOUN
склонилось	VERB
к	PREP
земле	NOUN
.	PNCT
Газеты	NOUN
и	CONJ
журналы	NOUN
шли	VERB
на	PREP
растопку	NOUN
и	CONJ
еще	ADV
на	PREP
утепленье	NOUN
—	PNCT
мы	PRON
заталкивали	VERB
смятые	PRTF
страницы	NOUN
в	PREP
щели	NOUN
между	PREP
плохо	ADV
пригнанными	PRTF
камнями	NOUN
,	PNCT
и	CONJ
тогда	ADV
зимой	ADV
не	PART
так	ADV
дуло	VERB
.	PNCT
Выкорчеванные	PRTF
пни	NOUN
―	PNCT
оригинальный	ADJ
материал	NOUN
для	PREP
ландшафтной	ADJ
композиции	NOUN
.	PNCT
Если	CONJ
опять	ADV
же	PART
о	PREP
внешнем	NOUN
,	PNCT
гравюры	NOUN
повешены	PRTS
наспех	ADV
там	ADV
и	CONJ
сям	ADV
или	CONJ
же	PART
просто	ADV
стоят	VERB
,	PNCT
прислонённые	PRTF
к	PREP
стене	NOUN
,	PNCT
―	PNCT
не	PART
пни	VERB
ногой	NOUN
,	PNCT
милый	NOUN
.	PNCT
Не	PART
касаясь	GRND
друг	NOUN
друга	NOUN
,	PNCT
они	PRON
связаны	VERB
общим	ADJ
гравитационным	ADJ
полем	NOUN
.	PNCT
Работаем	VERB
4	NUM
часа	NOUN
в	PREP
поле	NOUN
.	PNCT
Там	ADV
мы	PRON
полем	VERB
свеклу	NOUN
.	PNCT
Как	ADV
,	PNCT
мамочка	NOUN
,	PNCT
твои	APRO
дела	NOUN
,	PNCT
как	ADV
живешь	VERB
,	PNCT
работаешь	VERB
?	PNCT
Самой	APRO
простой	ADJ
практической	ADJ
работой	NOUN
может	VERB
быть	VERB
выколотка	NOUN
чашечки	NOUN
для	PREP
деревянного	ADJ
подсвечника	NOUN
.	PNCT
Так	ADV
,	PNCT
простой	NOUN
электровозов	NOUN
по	PREP
ст	NOUN
.	PNCT
Каменск-Уральский	
составляет	VERB
в	PREP
среднем	ADJ
за	PREP
месяц	NOUN
837	NUM
ч	NOUN
,	PNCT
а	CONJ
переотдых	NOUN
бригад	NOUN
―	PNCT
около	ADV
85	NUM
ч	NOUN
.	PNCT
Темы	NOUN
подсказывала	VERB
повседневность	NOUN
,	PNCT
а	CONJ
стих	NOUN	
рождался	VERB
из	PREP
скрытого	ADJ
,	PNCT
неподвластного	ADJ
уму	NOUN
и	CONJ
воле	NOUN
первоисточника	NOUN
.	PNCT
К	PREP
утру	NOUN
ветер	NOUN
стих	VERB
,	PNCT
подморозило	VERB
.	PNCT
Она	PRON
научила	VERB
меня	PRON
печь	VERB
блины	NOUN
.	PNCT
Входим	VERB
в	PREP
дом	NOUN
,	PNCT
открыв	GRND
дверь	NOUN
,	PNCT
попадаем	VERB
в	PREP
кухню	NOUN
:	PNCT
печь	NOUN
,	PNCT
налево	ADV
окно	NOUN
,	PNCT
рядом	ADV
небольшой	ADJ
стол	NOUN
и	CONJ
три	NUM
деревянных	ADJ
стула	NOUN
.	PNCT